GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration
0500000US13155,"Irwin County, Georgia",7589,411,131,576,60,283,213,15,127,125,800,224,257,247
0500000US13157,"Jackson County, Georgia",44688,480,2667,3362,1482,3250,1498,468,1362,2070,5180,2253,1389,960
0500000US13159,"Jasper County, Georgia",10609,154,751,942,238,895,538,46,315,525,838,318,361,115
0500000US13161,"Jeff Davis County, Georgia",10969,376,356,1092,208,579,592,54,238,266,903,303,340,564
0500000US13163,"Jefferson County, Georgia",13079,308,457,1204,191,686,296,87,171,217,1537,416,202,537
0500000US13165,"Jenkins County, Georgia",6539,111,286,662,46,647,75,0,105,225,500,192,235,193
0500000US13167,"Johnson County, Georgia",7967,277,266,629,86,347,197,13,120,111,661,172,342,263
0500000US13169,"Jones County, Georgia",21767,332,1087,1281,438,1152,982,373,905,729,3318,474,465,1176
0500000US13171,"Lamar County, Georgia",14552,142,548,1152,309,1132,622,165,281,309,1653,547,323,393
0500000US13173,"Lanier County, Georgia",7048,65,520,497,76,329,141,5,177,368,909,159,230,414
0500000US13175,"Laurens County, Georgia",36854,251,1590,3201,462,2408,1064,200,773,1133,4864,1455,825,1382
0500000US13177,"Lee County, Georgia",20914,315,1106,1420,368,1650,1020,297,616,998,3524,718,377,800
0500000US13179,"Liberty County, Georgia",46317,63,1444,1571,250,3083,1494,461,827,1756,4562,2411,1241,3992
0500000US13181,"Lincoln County, Georgia",6578,78,302,436,50,424,303,47,121,281,529,292,194,192
0500000US13183,"Long County, Georgia",9690,8,718,637,63,491,351,219,80,322,949,423,416,663
0500000US13185,"Lowndes County, Georgia",81711,543,3113,3814,1040,7565,2218,543,1871,3541,11308,5071,2101,3316
0500000US13187,"Lumpkin County, Georgia",23375,81,1675,1866,338,1744,472,249,628,811,2843,1409,751,463
0500000US13189,"McDuffie County, Georgia",16583,223,963,1153,320,1030,523,83,322,768,1787,921,296,412
0500000US13191,"McIntosh County, Georgia",11048,328,818,537,97,673,295,72,226,403,1132,687,350,612
0500000US13193,"Macon County, Georgia",11416,375,445,1019,44,414,197,0,127,199,1241,213,154,364
0500000US13195,"Madison County, Georgia",21750,349,1494,1376,375,1519,601,188,431,993,2671,960,719,636
0500000US13197,"Marion County, Georgia",6550,330,396,711,46,364,98,8,111,240,694,216,47,96
0500000US13199,"Meriwether County, Georgia",17506,220,756,1761,278,1077,593,116,389,642,1767,503,544,376
0500000US13201,"Miller County, Georgia",4837,270,163,346,135,364,85,12,141,80,636,97,93,126
0500000US13205,"Mitchell County, Georgia",18335,713,621,1884,267,1055,458,126,431,460,1302,368,379,800
0500000US13207,"Monroe County, Georgia",20530,372,1012,1026,299,1488,1063,181,985,1032,2444,918,458,538
0500000US13209,"Montgomery County, Georgia",7304,312,456,486,134,294,194,17,117,143,885,194,131,284
0500000US13211,"Morgan County, Georgia",13858,475,750,1137,169,983,302,132,466,679,1268,637,515,459
0500000US13213,"Murray County, Georgia",30113,378,1104,6539,306,1809,1016,227,608,720,2058,596,636,409
0500000US13215,"Muscogee County, Georgia",144986,294,3933,6730,1388,8936,2884,1438,9615,5616,17113,8122,4017,4979
0500000US13217,"Newton County, Georgia",71954,229,3567,6234,1541,5681,2947,1356,1907,3862,9233,2726,1867,1883
0500000US13219,"Oconee County, Georgia",23840,289,853,1343,478,1558,763,263,752,1513,4976,811,755,925
0500000US13221,"Oglethorpe County, Georgia",11391,262,318,565,159,792,200,23,180,492,1610,521,536,332
0500000US13223,"Paulding County, Georgia",97788,229,6081,6409,3009,8624,4347,2035,4830,5999,12599,4090,3080,3017
0500000US13225,"Peach County, Georgia",21376,389,865,1492,205,983,484,81,533,569,2473,706,602,1169
0500000US13227,"Pickens County, Georgia",23235,217,1475,1641,460,1958,641,247,800,926,2375,906,656,447
0500000US13229,"Pierce County, Georgia",13997,481,603,909,242,1106,778,152,168,425,1516,481,315,533
0500000US13231,"Pike County, Georgia",13191,80,1002,1226,171,780,705,49,357,391,1592,458,441,379
0500000US13233,"Polk County, Georgia",31469,181,2028,3707,537,2125,840,349,643,886,3288,941,869,604
0500000US13235,"Pulaski County, Georgia",9732,258,224,909,190,453,91,39,117,416,818,537,116,346
0500000US13237,"Putnam County, Georgia",16918,340,970,1227,418,925,574,196,508,604,1500,716,421,415
0500000US13239,"Quitman County, Georgia",2022,34,35,236,17,153,72,40,29,17,78,78,65,43
0500000US13241,"Rabun County, Georgia",13272,173,1022,438,210,1193,203,97,245,436,1417,612,300,283
0500000US13243,"Randolph County, Georgia",6279,222,111,442,63,89,158,24,165,46,850,139,78,326
0500000US13245,"Richmond County, Georgia",154588,183,4609,8858,1749,9862,4038,1670,3119,7403,20112,8307,3879,5166
0500000US13247,"Rockdale County, Georgia",63835,86,3476,4699,863,4298,2590,1307,2462,3619,8229,3088,1889,1938
0500000US13249,"Schley County, Georgia",3519,114,261,392,0,77,172,52,20,146,478,80,101,114
0500000US13251,"Screven County, Georgia",11637,292,306,1197,105,422,274,107,176,242,1284,265,278,159
0500000US13253,"Seminole County, Georgia",7006,249,256,573,102,321,116,41,241,179,691,222,234,138
0500000US13255,"Spalding County, Georgia",48936,36,2305,4389,912,3283,2483,232,1082,2021,5188,1864,1439,1256
0500000US13257,"Stephens County, Georgia",20637,82,732,2286,419,1214,386,144,390,727,2607,1014,424,328
0500000US13259,"Stewart County, Georgia",4647,149,133,320,44,162,120,34,78,83,498,211,110,235
0500000US13261,"Sumter County, Georgia",25296,524,801,1677,506,1480,328,294,437,718,3734,1006,974,976
0500000US13263,"Talbot County, Georgia",5546,152,224,373,110,168,184,22,129,318,494,146,112,123
0500000US13265,"Taliaferro County, Georgia",1649,36,15,138,26,71,51,0,0,51,112,59,39,48
0500000US13267,"Tattnall County, Georgia",19687,844,1215,969,161,865,581,124,404,564,1418,333,438,1164
0500000US13269,"Taylor County, Georgia",6873,137,488,327,171,183,213,75,89,125,473,53,137,355
0500000US13271,"Telfair County, Georgia",13295,298,283,779,82,591,257,18,214,178,994,245,295,887
0500000US13273,"Terrell County, Georgia",7441,173,247,492,124,454,307,28,117,212,671,158,132,194
0500000US13275,"Thomas County, Georgia",34738,635,1186,1996,619,2321,777,144,811,985,4459,1060,565,1110
0500000US13277,"Tift County, Georgia",30653,1174,1129,2034,502,2026,686,227,811,843,4220,1568,856,1175
0500000US13279,"Toombs County, Georgia",20213,746,877,1214,510,1330,607,97,344,645,2661,571,528,832
0500000US13281,"Towns County, Georgia",9040,11,904,150,31,300,126,111,478,193,896,380,251,109
0500000US13283,"Treutlen County, Georgia",5313,13,263,394,51,307,253,24,113,100,654,39,158,142
0500000US13285,"Troup County, Georgia",50127,152,1677,6324,733,3613,1307,517,1370,1724,6060,2236,1286,1285
0500000US13287,"Turner County, Georgia",6880,200,213,396,112,311,225,27,205,137,606,247,124,391
0500000US13289,"Twiggs County, Georgia",7604,161,301,304,79,277,226,4,163,301,661,73,110,215
0500000US13291,"Union County, Georgia",17617,269,581,677,119,753,657,83,692,654,2402,579,643,386
0500000US13293,"Upson County, Georgia",21496,156,1026,2215,184,1346,587,189,430,579,2095,806,529,751
0500000US13295,"Walker County, Georgia",53178,142,2371,5988,707,3341,1905,461,1644,2352,5320,1583,1321,1108
0500000US13297,"Walton County, Georgia",61857,270,4151,4608,1695,6087,2110,613,1957,3338,7350,2224,2238,2020
0500000US13299,"Ware County, Georgia",28299,380,862,1877,413,2091,1134,111,565,788,3123,1001,532,839
0500000US13301,"Warren County, Georgia",4739,52,123,711,91,281,77,46,50,109,352,112,68,133
0500000US13303,"Washington County, Georgia",16658,679,500,953,110,878,647,144,190,241,1756,403,396,507
0500000US13305,"Wayne County, Georgia",23063,343,1398,1523,214,1224,663,142,630,520,2211,848,726,968
0500000US13307,"Webster County, Georgia",2062,124,83,143,20,163,110,8,48,0,237,5,40,80
0500000US13309,"Wheeler County, Georgia",6029,209,251,162,0,207,81,35,79,46,334,121,83,138
0500000US13311,"White County, Georgia",21351,202,1340,1656,395,1612,364,189,479,1078,2369,1390,481,854
0500000US13313,"Whitfield County, Georgia",74121,213,2496,17358,1474,4400,2006,518,1153,2449,6302,3352,1923,1007
0500000US13315,"Wilcox County, Georgia",7490,288,265,261,67,210,87,13,72,93,651,162,59,444
0500000US13317,"Wilkes County, Georgia",8579,259,308,588,196,352,188,56,212,107,793,202,126,259
0500000US13319,"Wilkinson County, Georgia",7579,261,397,619,54,294,197,94,119,96,800,140,86,205
0500000US13321,"Worth County, Georgia",16783,306,783,972,377,961,586,69,388,427,1890,715,472,668
0500000US15001,"Hawaii County, Hawaii",143857,3910,9450,2282,2289,10922,3789,1071,5002,7858,16162,14809,3639,4597
0500000US15003,"Honolulu County, Hawaii",752343,3364,31742,15324,12680,48811,26320,9274,31640,44784,95435,59637,19043,41637
0500000US15005,"Kalawao County, Hawaii",74,0,0,0,0,5,3,0,0,0,8,5,10,29
0500000US15007,"Kauai County, Hawaii",52406,970,3284,758,659,4435,1861,569,1833,3116,5039,7166,1428,1815
0500000US15009,"Maui County, Hawaii",119607,2002,7245,2114,1526,9483,3606,1062,5206,7594,12616,18069,3595,3872
0500000US16001,"Ada County, Idaho",290071,2302,13083,19492,5964,22831,8161,5597,14455,22224,37176,16407,7944,11054
0500000US16003,"Adams County, Idaho",3187,339,240,88,58,177,62,37,61,133,226,242,65,82
0500000US16005,"Bannock County, Idaho",60795,634,2410,3599,1002,5214,2317,689,2352,3294,9808,3403,1317,1961
0500000US16007,"Bear Lake County, Idaho",4599,459,132,167,86,383,117,18,113,100,535,155,80,133
0500000US16009,"Benewah County, Idaho",7318,473,211,433,76,385,216,30,102,166,863,374,267,286
0500000US16011,"Bingham County, Idaho",31414,1584,1600,2416,624,2141,1049,237,825,1697,3853,1342,632,1092
0500000US16013,"Blaine County, Idaho",16783,284,1685,530,211,1270,404,211,777,1995,1526,1734,446,462
0500000US16015,"Boise County, Idaho",5658,169,476,231,52,359,176,86,101,125,608,268,122,299
0500000US16017,"Bonner County, Idaho",32903,869,2469,2520,222,2383,767,233,709,1658,3048,1966,812,595
0500000US16019,"Bonneville County, Idaho",72261,1253,3947,3832,1571,6203,1451,1331,2327,7362,9329,3847,1654,2089
0500000US16021,"Boundary County, Idaho",8415,333,529,388,0,616,195,46,84,222,1169,257,164,244
0500000US16023,"Butte County, Idaho",2281,155,63,42,3,136,62,8,22,200,287,82,51,120
0500000US16025,"Camas County, Idaho",935,119,84,42,10,24,24,0,8,22,144,69,17,50
0500000US16027,"Canyon County, Idaho",130715,3411,8251,9892,2897,9583,4143,1656,3785,6481,14910,4383,3582,3710
0500000US16029,"Caribou County, Idaho",5111,338,431,539,43,326,173,24,79,219,473,164,111,114
0500000US16031,"Cassia County, Idaho",15641,1655,655,949,313,1016,595,70,376,417,1760,508,547,297
0500000US16033,"Clark County, Idaho",635,198,61,40,0,2,24,0,0,6,57,0,5,27
0500000US16035,"Clearwater County, Idaho",7437,621,256,332,83,174,123,53,97,147,927,226,113,285
0500000US16037,"Custer County, Idaho",3419,583,227,180,42,130,134,68,39,93,301,113,107,135
