GEO_ID,NAME,CP05_2007_2011_001E,CP05_2007_2011_002E,CP05_2007_2011_003E,CP05_2007_2011_004E,CP05_2007_2011_005E,CP05_2007_2011_006E,CP05_2007_2011_007E,CP05_2007_2011_008E,CP05_2007_2011_009E,CP05_2007_2011_010E,CP05_2007_2011_011E,CP05_2007_2011_012E,CP05_2007_2011_013E,CP05_2007_2011_014E,CP05_2007_2011_015E,CP05_2007_2011_016E,CP05_2007_2011_032E,CP05_2007_2011_033E,CP05_2007_2011_034E,CP05_2007_2011_039E,CP05_2007_2011_047E,CP05_2007_2011_052E
id,Geographic Area Name,2007-2011 Estimates!!SEX AND AGE!!Total population,2007-2011 Estimates!!SEX AND AGE!!Total population!!Male,2007-2011 Estimates!!SEX AND AGE!!Total population!!Female,2007-2011 Estimates!!SEX AND AGE!!Under 5 years,2007-2011 Estimates!!SEX AND AGE!!5 to 9 years,2007-2011 Estimates!!SEX AND AGE!!10 to 14 years,2007-2011 Estimates!!SEX AND AGE!!15 to 19 years,2007-2011 Estimates!!SEX AND AGE!!20 to 24 years,2007-2011 Estimates!!SEX AND AGE!!25 to 34 years,2007-2011 Estimates!!SEX AND AGE!!35 to 44 years,2007-2011 Estimates!!SEX AND AGE!!45 to 54 years,2007-2011 Estimates!!SEX AND AGE!!55 to 59 years,2007-2011 Estimates!!SEX AND AGE!!60 to 64 years,2007-2011 Estimates!!SEX AND AGE!!65 to 74 years,2007-2011 Estimates!!SEX AND AGE!!75 to 84 years,2007-2011 Estimates!!SEX AND AGE!!85 years and over,2007-2011 Estimates!!RACE!!One race!!White,2007-2011 Estimates!!RACE!!One race!!Black or African American,2007-2011 Estimates!!RACE!!One race!!American Indian and Alaska Native,2007-2011 Estimates!!RACE!!One race!!Asian,2007-2011 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander,2007-2011 Estimates!!RACE!!One race!!Some other race
0500000US01001,"Autauga County, Alabama",53944,48.5,51.5,6.6,7.6,7.8,8.3,5.6,12,15.2,14.7,5.5,5.1,7.2,3.4,1.1,78.9,18.1,0.2,0.7,0,0.5
0500000US01003,"Baldwin County, Alabama",179523,48.8,51.2,6.2,6.3,6.7,6.3,5.2,11.5,13.1,14.8,6.6,6.7,9.6,5.3,1.8,86.4,9.4,0.6,0.7,0,1.5
0500000US01005,"Barbour County, Alabama",27546,53.2,46.8,6.1,6.7,5.6,6.3,6.7,13.9,13.3,14.4,6.7,6.1,8,4.6,1.7,49.3,45.9,0.3,0.5,0,1.8
0500000US01007,"Bibb County, Alabama",22746,52.1,47.9,5.7,7.4,6.3,6.3,7,12,14.8,16.2,5.5,6.1,7.4,4.1,1.1,76.7,22.7,0.3,0.1,0,0
0500000US01009,"Blount County, Alabama",57140,49.6,50.4,6.3,6.5,7.4,6.8,5.6,12.1,14,14.2,5.9,6.7,8.7,4.4,1.4,95.3,1.4,0.6,0.1,0,1.3
0500000US01011,"Bullock County, Alabama",10877,54.7,45.3,6.2,4.7,6.6,7.2,5.9,12.9,14.6,16,6.4,6.1,6.7,4.1,2.6,28.6,70,0.2,0,0.2,0
0500000US01013,"Butler County, Alabama",20860,46.9,53.1,6.5,6.7,6.8,6.7,5.8,11.9,11.5,14.5,7.1,6,8.5,6.1,1.9,54.8,43.6,0.1,0.8,0,0
0500000US01015,"Calhoun County, Alabama",117614,48.1,51.9,6.1,6.4,6.4,7.2,7.4,12.6,12.6,14.4,6.9,5.6,7.9,4.9,1.5,75.2,20.5,0.3,0.6,0.1,1.5
0500000US01017,"Chambers County, Alabama",34375,47.4,52.6,5.8,6.2,6.6,6.6,5.7,11.6,12.8,14.6,7,6.5,8.9,5.6,2,59.1,39.2,0,0.4,0,0.1
0500000US01019,"Cherokee County, Alabama",25819,50,50,5.1,5.3,6.7,6,4.7,10.8,12.7,15.3,9,6.3,11.6,5,1.5,92.8,5,0.7,0.2,0,0.4
0500000US01021,"Chilton County, Alabama",43444,49.3,50.7,6.9,6.3,7.5,6.7,6.2,12.7,13.9,14,6.5,5.6,7.9,4.3,1.4,87.4,9.6,0.6,0.2,0,0.9
0500000US01023,"Choctaw County, Alabama",13953,48,52,5.6,7.2,5.8,7.8,4,8.7,13.5,15.3,5.8,8.3,10.2,5.2,2.5,55.5,43.1,0,0.3,0,0
0500000US01025,"Clarke County, Alabama",26046,48.3,51.7,5.9,5.8,8.6,9,4.6,10.1,13.1,14.8,6.7,5.7,8.9,4.8,2,55,41.7,1.9,0.4,0,0.2
0500000US01027,"Clay County, Alabama",14010,48.8,51.2,5.7,5.8,7.3,5.7,5.3,11.2,13.9,14.1,7.2,5.9,10.1,5.5,2.3,81.6,15.8,0.1,0,0,1.1
0500000US01029,"Cleburne County, Alabama",14881,49.7,50.3,6.3,6.7,6.5,7,5.2,11,13.9,14.4,6.5,6.8,9.3,5,1.5,94.6,3.7,0.3,0,0,0.1
0500000US01031,"Coffee County, Alabama",49221,49.1,50.9,6.7,6.3,7.1,6.6,6.4,13,13.7,13.6,6.9,5.1,8.1,4.7,1.8,77.5,17.4,0.9,1.1,0,0.7
0500000US01033,"Colbert County, Alabama",54478,48.1,51.9,5.7,6,6.4,6.7,5.5,11.1,13.2,15.2,6.7,6.3,9.5,5.7,2,80.9,16.1,0.6,0.4,0,0.6
0500000US01035,"Conecuh County, Alabama",13286,49.3,50.7,6,6.2,7,7.8,6.7,8.7,10.5,15,7.8,6.7,9.5,6,2.3,51.7,44.4,1,0,0,0
0500000US01037,"Coosa County, Alabama",11303,51.1,48.9,4.9,5.8,5.9,6,5.6,9.5,14.6,16.3,8.5,6.9,9.5,4.7,1.7,67.3,31.8,0,0,0,0.1
0500000US01039,"Covington County, Alabama",37736,48.6,51.4,6,6.3,6.3,6.7,5.4,11,12.3,14.5,6.5,6.7,9.9,6.3,2.2,84.7,12.5,0.6,0.3,0,0.7
