year,state,state_po,county_name,county_fips,office,candidate,party,demVotes,repVotes,totalvotes
2012,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,BARACK OBAMA,DEMOCRAT,6363,17569,23932
2012,ALABAMA,AL,BALDWIN,1003,PRESIDENT,BARACK OBAMA,DEMOCRAT,18424,66914,85338
2012,ALABAMA,AL,BALDWIN,1003,PRESIDENT,MITT ROMNEY,REPUBLICAN,66016,19322,85338
2012,ALABAMA,AL,BARBOUR,1005,PRESIDENT,MITT ROMNEY,REPUBLICAN,5550,5959,11509
2012,ALABAMA,AL,BIBB,1007,PRESIDENT,MITT ROMNEY,REPUBLICAN,6132,2288,8420
2012,ALABAMA,AL,BLOUNT,1009,PRESIDENT,MITT ROMNEY,REPUBLICAN,20757,3249,24006
2012,ALABAMA,AL,BULLOCK,1011,PRESIDENT,MITT ROMNEY,REPUBLICAN,1251,4071,5322
2012,ALABAMA,AL,BUTLER,1013,PRESIDENT,BARACK OBAMA,DEMOCRAT,4374,5122,9496
2012,ALABAMA,AL,CALHOUN,1015,PRESIDENT,BARACK OBAMA,DEMOCRAT,15511,30746,46257
2012,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,BARACK OBAMA,DEMOCRAT,6871,7740,14611
2012,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,BARACK OBAMA,DEMOCRAT,2132,7647,9779
2012,ALABAMA,AL,CHILTON,1021,PRESIDENT,BARACK OBAMA,DEMOCRAT,3397,14065,17462
2012,ALABAMA,AL,CHILTON,1021,PRESIDENT,MITT ROMNEY,REPUBLICAN,13932,3530,17462
2012,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,MITT ROMNEY,REPUBLICAN,4152,3816,7968
2012,ALABAMA,AL,CLARKE,1025,PRESIDENT,MITT ROMNEY,REPUBLICAN,7470,6381,13851
2012,ALABAMA,AL,CLAY,1027,PRESIDENT,MITT ROMNEY,REPUBLICAN,4817,1845,6662
2012,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,MITT ROMNEY,REPUBLICAN,5272,1033,6305
2012,ALABAMA,AL,COFFEE,1031,PRESIDENT,BARACK OBAMA,DEMOCRAT,4925,14845,19770
2012,ALABAMA,AL,COLBERT,1033,PRESIDENT,BARACK OBAMA,DEMOCRAT,9166,14219,23385
2012,ALABAMA,AL,CONECUH,1035,PRESIDENT,BARACK OBAMA,DEMOCRAT,3555,3467,7022
2012,ALABAMA,AL,COOSA,1037,PRESIDENT,BARACK OBAMA,DEMOCRAT,2191,3078,5269
2012,ALABAMA,AL,COVINGTON,1039,PRESIDENT,BARACK OBAMA,DEMOCRAT,3158,12265,15423
2012,ALABAMA,AL,COVINGTON,1039,PRESIDENT,MITT ROMNEY,REPUBLICAN,12153,3270,15423
2012,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,MITT ROMNEY,REPUBLICAN,4331,2087,6418
2012,ALABAMA,AL,CULLMAN,1043,PRESIDENT,MITT ROMNEY,REPUBLICAN,28999,5458,34457
2012,ALABAMA,AL,DALE,1045,PRESIDENT,MITT ROMNEY,REPUBLICAN,13108,5449,18557
2012,ALABAMA,AL,DALLAS,1047,PRESIDENT,MITT ROMNEY,REPUBLICAN,6288,14665,20953
2012,ALABAMA,AL,DEKALB,1049,PRESIDENT,BARACK OBAMA,DEMOCRAT,5239,18624,23863
2012,ALABAMA,AL,ELMORE,1051,PRESIDENT,BARACK OBAMA,DEMOCRAT,8954,26531,35485
2012,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,BARACK OBAMA,DEMOCRAT,5489,9380,14869
2012,ALABAMA,AL,ETOWAH,1055,PRESIDENT,BARACK OBAMA,DEMOCRAT,12803,29727,42530
2012,ALABAMA,AL,FAYETTE,1057,PRESIDENT,BARACK OBAMA,DEMOCRAT,1817,6129,7946
2012,ALABAMA,AL,FAYETTE,1057,PRESIDENT,MITT ROMNEY,REPUBLICAN,6054,1892,7946
2012,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,MITT ROMNEY,REPUBLICAN,7567,3292,10859
2012,ALABAMA,AL,GENEVA,1061,PRESIDENT,MITT ROMNEY,REPUBLICAN,9175,2145,11320
2012,ALABAMA,AL,GREENE,1063,PRESIDENT,MITT ROMNEY,REPUBLICAN,804,4536,5340
2012,ALABAMA,AL,HALE,1065,PRESIDENT,MITT ROMNEY,REPUBLICAN,3210,5433,8643
2012,ALABAMA,AL,HENRY,1067,PRESIDENT,BARACK OBAMA,DEMOCRAT,3083,5677,8760
2012,ALABAMA,AL,HOUSTON,1069,PRESIDENT,BARACK OBAMA,DEMOCRAT,12367,29551,41918
2012,ALABAMA,AL,JACKSON,1071,PRESIDENT,BARACK OBAMA,DEMOCRAT,5822,14755,20577
2012,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,BARACK OBAMA,DEMOCRAT,159876,144042,303918
2012,ALABAMA,AL,LAMAR,1075,PRESIDENT,BARACK OBAMA,DEMOCRAT,1646,5520,7166
2012,ALABAMA,AL,LAMAR,1075,PRESIDENT,MITT ROMNEY,REPUBLICAN,5457,1709,7166
2012,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,MITT ROMNEY,REPUBLICAN,23911,13013,36924
2012,ALABAMA,AL,LAWRENCE,1079,PRESIDENT,MITT ROMNEY,REPUBLICAN,8874,5238,14112
2012,ALABAMA,AL,LEE,1081,PRESIDENT,MITT ROMNEY,REPUBLICAN,32194,22165,54359
2012,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,MITT ROMNEY,REPUBLICAN,25295,10164,35459
2012,ALABAMA,AL,LOWNDES,1085,PRESIDENT,BARACK OBAMA,DEMOCRAT,5747,1774,7521
