GEO_ID,NAME,B08015_001E,B08015_002E,B08015_003E
id,Geographic Area Name,"Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Male","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Female"
0500000US01001,"Autauga County, Alabama",22250,11750,10500
0500000US01003,"Baldwin County, Alabama",69870,36970,32900
0500000US01005,"Barbour County, Alabama",7925,3960,3965
0500000US01007,"Bibb County, Alabama",7405,4465,2940
0500000US01009,"Blount County, Alabama",20120,10820,9300
0500000US01011,"Bullock County, Alabama",3560,2070,1485
0500000US01013,"Butler County, Alabama",7030,3265,3765
0500000US01015,"Calhoun County, Alabama",41010,21895,19115
0500000US01017,"Chambers County, Alabama",11450,5760,5690
0500000US01019,"Cherokee County, Alabama",8795,4815,3980
0500000US01021,"Chilton County, Alabama",15530,8605,6930
0500000US01023,"Choctaw County, Alabama",3725,1990,1735
0500000US01025,"Clarke County, Alabama",7750,3850,3900
0500000US01027,"Clay County, Alabama",4295,2335,1955
0500000US01029,"Cleburne County, Alabama",4930,2455,2475
0500000US01031,"Coffee County, Alabama",18355,10325,8025
0500000US01033,"Colbert County, Alabama",20015,10835,9180
0500000US01035,"Conecuh County, Alabama",3530,1670,1860
0500000US01037,"Coosa County, Alabama",3765,2040,1725
0500000US01039,"Covington County, Alabama",12820,6705,6110
0500000US01041,"Crenshaw County, Alabama",4970,2630,2340
0500000US01043,"Cullman County, Alabama",28290,15305,12990
0500000US01045,"Dale County, Alabama",18970,10545,8425
0500000US01047,"Dallas County, Alabama",11975,6035,5940
0500000US01049,"DeKalb County, Alabama",24600,13510,11090
0500000US01051,"Elmore County, Alabama",30830,15445,15385
0500000US01053,"Escambia County, Alabama",10885,5710,5170
0500000US01055,"Etowah County, Alabama",35375,18335,17040
0500000US01057,"Fayette County, Alabama",5735,3070,2665
0500000US01059,"Franklin County, Alabama",11445,6385,5060
0500000US01061,"Geneva County, Alabama",9295,5035,4260
0500000US01063,"Greene County, Alabama",2030,965,1065
0500000US01065,"Hale County, Alabama",4635,2270,2365
0500000US01067,"Henry County, Alabama",5795,3170,2625
0500000US01069,"Houston County, Alabama",39905,20540,19365
0500000US01071,"Jackson County, Alabama",19555,10765,8790
0500000US01073,"Jefferson County, Alabama",257140,129795,127345
0500000US01075,"Lamar County, Alabama",5045,2635,2410
0500000US01077,"Lauderdale County, Alabama",34650,18565,16085
0500000US01079,"Lawrence County, Alabama",12340,6680,5655
0500000US01081,"Lee County, Alabama",54170,28545,25625
0500000US01083,"Limestone County, Alabama",31540,16925,14615
0500000US01085,"Lowndes County, Alabama",3065,1415,1645
0500000US01087,"Macon County, Alabama",6295,2870,3430
0500000US01089,"Madison County, Alabama",142275,76630,65645
0500000US01091,"Marengo County, Alabama",6550,3305,3245
0500000US01093,"Marion County, Alabama",10105,5140,4965
0500000US01095,"Marshall County, Alabama",31920,17515,14410
0500000US01097,"Mobile County, Alabama",151180,77360,73820
0500000US01099,"Monroe County, Alabama",7190,3630,3565
0500000US01101,"Montgomery County, Alabama",88940,43465,45480
0500000US01103,"Morgan County, Alabama",46725,25140,21590
0500000US01105,"Perry County, Alabama",2425,1140,1285
0500000US01107,"Pickens County, Alabama",6005,3120,2885
0500000US01109,"Pike County, Alabama",12250,6135,6115
0500000US01111,"Randolph County, Alabama",7125,3745,3380
0500000US01113,"Russell County, Alabama",19490,9560,9930
0500000US01115,"St. Clair County, Alabama",31305,16950,14360
0500000US01117,"Shelby County, Alabama",85030,45565,39465
0500000US01119,"Sumter County, Alabama",4030,1835,2195
0500000US01121,"Talladega County, Alabama",27180,14500,12680
0500000US01123,"Tallapoosa County, Alabama",14290,7135,7155
0500000US01125,"Tuscaloosa County, Alabama",75445,39780,35665
0500000US01127,"Walker County, Alabama",21515,11515,10000
0500000US01129,"Washington County, Alabama",5185,3000,2185
0500000US01131,"Wilcox County, Alabama",2160,1020,1140
0500000US01133,"Winston County, Alabama",7840,4325,3515
0500000US02013,"Aleutians East Borough, Alaska",260,135,125
0500000US02016,"Aleutians West Census Area, Alaska",1205,720,480
0500000US02020,"Anchorage Municipality, Alaska",123425,64615,58810
0500000US02050,"Bethel Census Area, Alaska",1835,935,900
0500000US02060,"Bristol Bay Borough, Alaska",330,165,165
0500000US02068,"Denali Borough, Alaska",590,340,250
0500000US02070,"Dillingham Census Area, Alaska",790,355,435
0500000US02090,"Fairbanks North Star Borough, Alaska",39180,21770,17410
0500000US02100,"Haines Borough, Alaska",805,420,385
0500000US02105,"Hoonah-Angoon Census Area, Alaska",420,210,210
0500000US02110,"Juneau City and Borough, Alaska",12375,6530,5845
0500000US02122,"Kenai Peninsula Borough, Alaska",18040,9175,8870
0500000US02130,"Ketchikan Gateway Borough, Alaska",4545,2320,2225
0500000US02150,"Kodiak Island Borough, Alaska",4970,2840,2130
0500000US02164,"Lake and Peninsula Borough, Alaska",140,60,80
0500000US02170,"Matanuska-Susitna Borough, Alaska",29000,15545,13455
0500000US02180,"Nome Census Area, Alaska",1045,530,515
0500000US02185,"North Slope Borough, Alaska",1150,735,415
0500000US02188,"Northwest Arctic Borough, Alaska",430,200,225
0500000US02195,"Petersburg Census Area, Alaska",1140,505,635
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",1435,805,635
0500000US02220,"Sitka City and Borough, Alaska",2970,1485,1480
0500000US02230,"Skagway Municipality, Alaska",270,145,125
0500000US02240,"Southeast Fairbanks Census Area, Alaska",2065,1120,945
0500000US02261,"Valdez-Cordova Census Area, Alaska",3195,1685,1510
0500000US02270,"Wade Hampton Census Area, Alaska",85,50,35
0500000US02275,"Wrangell City and Borough, Alaska",740,325,415
0500000US02282,"Yakutat City and Borough, Alaska",205,100,100
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",645,310,335
0500000US04001,"Apache County, Arizona",15075,6825,8250
0500000US04003,"Cochise County, Arizona",41530,21465,20070
0500000US04005,"Coconino County, Arizona",46365,24015,22350
0500000US04007,"Gila County, Arizona",14695,7620,7075
0500000US04009,"Graham County, Arizona",9790,5200,4590
0500000US04011,"Greenlee County, Arizona",2745,1730,1015
0500000US04012,"La Paz County, Arizona",5150,2705,2445
0500000US04013,"Maricopa County, Arizona",1394065,748710,645355
0500000US04015,"Mohave County, Arizona",56805,28720,28085
0500000US04017,"Navajo County, Arizona",25800,12965,12835
0500000US04019,"Pima County, Arizona",338270,177765,160505
0500000US04021,"Pinal County, Arizona",107165,58785,48385
0500000US04023,"Santa Cruz County, Arizona",14050,7770,6280
0500000US04025,"Yavapai County, Arizona",65590,33905,31685
0500000US04027,"Yuma County, Arizona",57445,32450,24995
0500000US05001,"Arkansas County, Arkansas",7565,3960,3605
0500000US05003,"Ashley County, Arkansas",7470,4045,3425
0500000US05005,"Baxter County, Arkansas",12810,5955,6855
0500000US05007,"Benton County, Arkansas",86310,46830,39480
0500000US05009,"Boone County, Arkansas",13465,6975,6490
0500000US05011,"Bradley County, Arkansas",3835,1890,1945
0500000US05013,"Calhoun County, Arkansas",1975,1085,890
0500000US05015,"Carroll County, Arkansas",9440,5150,4290
0500000US05017,"Chicot County, Arkansas",3010,1570,1440
0500000US05019,"Clark County, Arkansas",7940,3945,4000
0500000US05021,"Clay County, Arkansas",5310,2950,2355
0500000US05023,"Cleburne County, Arkansas",8225,4440,3785
0500000US05025,"Cleveland County, Arkansas",2705,1510,1195
0500000US05027,"Columbia County, Arkansas",8090,3930,4160
0500000US05029,"Conway County, Arkansas",7230,3820,3410
0500000US05031,"Craighead County, Arkansas",37465,19415,18050
0500000US05033,"Crawford County, Arkansas",22730,11820,10910
0500000US05035,"Crittenden County, Arkansas",17640,9040,8600
0500000US05037,"Cross County, Arkansas",6485,3300,3190
0500000US05039,"Dallas County, Arkansas",2365,1265,1100
0500000US05041,"Desha County, Arkansas",4085,1865,2220
0500000US05043,"Drew County, Arkansas",6585,3225,3360
0500000US05045,"Faulkner County, Arkansas",47485,25375,22110
0500000US05047,"Franklin County, Arkansas",5860,3110,2750
0500000US05049,"Fulton County, Arkansas",3535,1615,1915
0500000US05051,"Garland County, Arkansas",33180,17540,15640
0500000US05053,"Grant County, Arkansas",6960,3790,3170
0500000US05055,"Greene County, Arkansas",15380,8265,7115
0500000US05057,"Hempstead County, Arkansas",7990,4135,3860
0500000US05059,"Hot Spring County, Arkansas",11530,6030,5505
0500000US05061,"Howard County, Arkansas",4900,2480,2420
0500000US05063,"Independence County, Arkansas",13495,7050,6445
0500000US05065,"Izard County, Arkansas",3935,1970,1965
0500000US05067,"Jackson County, Arkansas",5115,2805,2310
0500000US05069,"Jefferson County, Arkansas",26075,12510,13570
0500000US05071,"Johnson County, Arkansas",8735,4720,4010
0500000US05073,"Lafayette County, Arkansas",2000,990,1010
0500000US05075,"Lawrence County, Arkansas",5300,2700,2595
0500000US05077,"Lee County, Arkansas",2395,1100,1295
0500000US05079,"Lincoln County, Arkansas",3520,1905,1615
0500000US05081,"Little River County, Arkansas",4835,2485,2350
0500000US05083,"Logan County, Arkansas",7395,3820,3570
0500000US05085,"Lonoke County, Arkansas",27280,14315,12960
0500000US05087,"Madison County, Arkansas",5200,2715,2485
0500000US05089,"Marion County, Arkansas",5225,2615,2605
0500000US05091,"Miller County, Arkansas",15810,8420,7390
0500000US05093,"Mississippi County, Arkansas",15260,7915,7340
0500000US05095,"Monroe County, Arkansas",2465,1230,1235
0500000US05097,"Montgomery County, Arkansas",2625,1440,1180
0500000US05099,"Nevada County, Arkansas",3240,1580,1660
0500000US05101,"Newton County, Arkansas",2690,1520,1165
0500000US05103,"Ouachita County, Arkansas",9035,4600,4440
0500000US05105,"Perry County, Arkansas",3555,1975,1580
0500000US05107,"Phillips County, Arkansas",6370,2865,3510
0500000US05109,"Pike County, Arkansas",3740,1890,1850
0500000US05111,"Poinsett County, Arkansas",7880,4330,3550
0500000US05113,"Polk County, Arkansas",6960,3560,3400
0500000US05115,"Pope County, Arkansas",24315,12965,11350
0500000US05117,"Prairie County, Arkansas",2965,1615,1355
0500000US05119,"Pulaski County, Arkansas",160160,81570,78590
0500000US05121,"Randolph County, Arkansas",5590,2890,2695
0500000US05123,"St. Francis County, Arkansas",8045,4060,3990
0500000US05125,"Saline County, Arkansas",44575,23325,21250
0500000US05127,"Scott County, Arkansas",3465,1775,1690
0500000US05129,"Searcy County, Arkansas",2660,1280,1385
0500000US05131,"Sebastian County, Arkansas",47985,25480,22505
0500000US05133,"Sevier County, Arkansas",5140,2910,2235
0500000US05135,"Sharp County, Arkansas",4375,2360,2020
0500000US05137,"Stone County, Arkansas",3825,1740,2090
0500000US05139,"Union County, Arkansas",15020,7935,7085
