GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services",Estimate!!INDUSTRY!!Public administration
0500000US01001,"Autauga County, Alabama",41800,346,1362,3278,717,3256,1372,271,1487,1790,4535,1882,2751
0500000US01003,"Baldwin County, Alabama",146042,1383,7611,6917,2532,12571,4168,1238,4785,7839,15536,8510,3712
0500000US01005,"Barbour County, Alabama",22156,321,537,2198,104,1119,579,50,338,496,1780,585,683
0500000US01007,"Bibb County, Alabama",18137,131,998,1552,285,1272,665,0,349,429,1712,323,407
0500000US01009,"Blount County, Alabama",45199,713,2353,4150,928,2740,1643,235,964,1570,4726,1117,1043
0500000US01011,"Bullock County, Alabama",8685,457,681,796,77,543,169,96,96,106,499,138,253
0500000US01013,"Butler County, Alabama",16282,255,486,1471,138,1028,454,76,358,428,1586,684,617
0500000US01015,"Calhoun County, Alabama",93980,365,2259,8616,1065,5688,2139,729,1532,3581,9746,4256,4469
0500000US01017,"Chambers County, Alabama",27364,134,1029,2865,343,1645,552,302,645,1355,2427,597,474
0500000US01019,"Cherokee County, Alabama",21045,274,907,2190,301,1246,710,88,327,360,2326,497,395
0500000US01021,"Chilton County, Alabama",34004,470,2457,2424,686,2282,1635,189,1022,886,2605,1067,1314
0500000US01023,"Choctaw County, Alabama",11104,347,531,822,101,508,163,32,112,163,1057,199,215
0500000US01025,"Clarke County, Alabama",20186,219,713,1745,90,1404,479,80,490,271,1826,440,452
0500000US01027,"Clay County, Alabama",11027,258,415,1500,57,382,332,76,138,135,1019,203,598
0500000US01029,"Cleburne County, Alabama",11750,285,657,1047,186,952,207,74,195,291,1100,253,284
0500000US01031,"Coffee County, Alabama",39218,635,1095,2167,479,2802,1173,215,962,1287,4215,1554,1886
0500000US01033,"Colbert County, Alabama",43959,454,1657,3946,803,2591,1586,262,1040,1495,4667,1653,943
0500000US01035,"Conecuh County, Alabama",10408,186,307,923,84,338,282,21,59,100,858,190,299
0500000US01037,"Coosa County, Alabama",9326,129,379,1430,23,332,257,0,94,308,661,348,251
0500000US01039,"Covington County, Alabama",30478,973,1317,2406,415,2081,1031,130,592,889,2967,678,784
0500000US01041,"Crenshaw County, Alabama",11000,487,453,913,357,562,402,78,223,323,1071,305,464
0500000US01043,"Cullman County, Alabama",63824,1042,2894,5765,1025,4124,1805,544,1593,1937,6969,2362,1269
0500000US01045,"Dale County, Alabama",39200,397,1412,1967,451,2214,2293,259,754,1382,3903,1955,1779
0500000US01047,"Dallas County, Alabama",33125,459,903,2716,330,1483,632,220,430,655,3090,733,1078
0500000US01049,"DeKalb County, Alabama",54881,1104,1580,7836,860,3514,1429,246,983,1538,4601,1814,888
0500000US01051,"Elmore County, Alabama",62929,219,2720,4324,918,3782,1723,411,1955,3221,7056,2357,4133
0500000US01053,"Escambia County, Alabama",30537,393,1230,1810,163,1640,675,221,497,612,2697,1102,905
0500000US01055,"Etowah County, Alabama",83176,300,2701,7214,1352,4199,2077,442,1602,2424,9916,3229,2371
0500000US01057,"Fayette County, Alabama",13943,469,239,1708,89,883,413,25,69,351,1481,378,151
0500000US01059,"Franklin County, Alabama",24577,248,964,4301,423,1428,742,94,476,466,2426,588,457
0500000US01061,"Geneva County, Alabama",21505,793,1317,1385,623,1405,717,44,252,681,2014,557,746
0500000US01063,"Greene County, Alabama",7127,52,199,491,51,207,287,0,100,118,458,345,161
0500000US01065,"Hale County, Alabama",12223,494,268,1056,158,617,211,25,193,330,1291,205,344
0500000US01067,"Henry County, Alabama",13946,257,367,1082,218,613,499,66,361,427,1498,381,246
0500000US01069,"Houston County, Alabama",79477,550,2901,4229,1741,6124,3932,779,1828,3203,10082,4212,2050
0500000US01071,"Jackson County, Alabama",42913,674,1594,5601,392,2370,1583,91,999,1137,4382,1419,873
0500000US01073,"Jefferson County, Alabama",521710,1893,17738,25293,9929,33351,14947,7661,26133,30975,73552,24339,12392
0500000US01075,"Lamar County, Alabama",11657,93,363,1390,77,601,676,51,201,216,1195,343,183
0500000US01077,"Lauderdale County, Alabama",75115,585,3496,4750,1221,5945,2411,610,1777,2903,8310,3393,1164
0500000US01079,"Lawrence County, Alabama",26990,425,1352,3240,411,1535,659,154,357,806,2498,919,575
0500000US01081,"Lee County, Alabama",113356,686,4169,7518,1117,7831,2271,1229,3561,4854,18240,6132,2744
0500000US01083,"Limestone County, Alabama",65775,581,2814,6359,769,3874,1677,514,1601,4551,6717,2065,2178
0500000US01085,"Lowndes County, Alabama",8946,138,245,942,153,409,198,64,177,233,600,193,275
0500000US01087,"Macon County, Alabama",17513,105,589,827,68,680,248,61,172,504,2860,980,566
0500000US01089,"Madison County, Alabama",265355,1087,8859,21248,2654,16678,4856,4270,6686,27733,30739,13539,14187
0500000US01091,"Marengo County, Alabama",16484,278,538,1404,175,820,639,23,403,206,1628,610,394
0500000US01093,"Marion County, Alabama",24805,461,857,2545,270,1307,815,145,419,634,2267,648,729
0500000US01095,"Marshall County, Alabama",72193,708,3789,8021,1382,4296,1593,838,1337,2850,6803,2454,1965
0500000US01097,"Mobile County, Alabama",321212,2466,12970,19390,5591,22291,10312,2865,9446,16276,39690,14570,7042
0500000US01099,"Monroe County, Alabama",18101,366,427,1906,235,912,581,92,344,330,1380,541,487
0500000US01101,"Montgomery County, Alabama",178890,532,4635,10179,2384,11891,3675,1437,6419,9779,21560,10259,11905
0500000US01103,"Morgan County, Alabama",93951,802,4742,10862,1279,6479,2409,902,2694,5169,8933,3943,1954
0500000US01105,"Perry County, Alabama",8305,290,194,498,29,313,184,0,143,147,677,121,150
0500000US01107,"Pickens County, Alabama",15660,447,600,1291,250,823,556,50,347,318,1396,274,185
0500000US01109,"Pike County, Alabama",27008,369,884,2468,291,1607,794,261,517,512,3843,1184,915
0500000US01111,"Randolph County, Alabama",18301,370,552,2135,89,1008,472,132,231,473,1662,453,497
0500000US01113,"Russell County, Alabama",41714,225,1630,2402,248,2453,816,536,1778,1707,4872,2463,1578
0500000US01115,"St. Clair County, Alabama",65697,439,3095,4850,1557,4627,2621,663,2082,3360,6367,1792,1937
0500000US01117,"Shelby County, Alabama",151011,1016,7276,7290,4033,11386,4597,3522,10914,12069,19434,7588,3642
0500000US01119,"Sumter County, Alabama",10901,216,160,514,102,449,388,37,72,356,1514,488,272
0500000US01121,"Talladega County, Alabama",65323,698,2118,6854,833,3855,1659,399,1258,2059,6129,2290,1876
0500000US01123,"Tallapoosa County, Alabama",33313,174,1142,3778,276,1659,888,95,701,899,4142,1025,873
0500000US01125,"Tuscaloosa County, Alabama",157529,2206,6891,9925,2082,10671,3615,1348,4143,6221,23896,7818,2906
0500000US01127,"Walker County, Alabama",53678,1431,2073,2650,586,3727,1873,303,927,1374,5544,1779,952
