GEO_ID,NAME,B08130_001E,B08130_002E,B08130_003E,B08130_004E,B08130_005E,B08130_006E,B08130_007E,B08130_008E,B08130_009E,B08130_010E,B08130_011E,B08130_012E,B08130_013E,B08130_014E,B08130_015E,B08130_016E,B08130_017E,B08130_018E,B08130_019E,B08130_020E,B08130_021E,B08130_022E,B08130_023E,B08130_024E,B08130_025E,B08130_026E,B08130_027E,B08130_028E,B08130_029E,B08130_030E,B08130_031E
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!Worked in state of residence,Estimate!!Total!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Worked outside state of residence,"Estimate!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Estimate!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence,Estimate!!Total!!Walked,Estimate!!Total!!Walked!!Worked in state of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Walked!!Worked outside state of residence,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence",Estimate!!Total!!Worked at home
0500000US01001,"Autauga County, Alabama",24302,24136,8712,15424,166,21082,20981,7004,13977,101,2225,2207,988,1219,18,19,19,19,0,0,116,116,110,6,0,352,305,83,222,47,508
0500000US01003,"Baldwin County, Alabama",86310,79995,62234,17761,6315,73058,67974,51699,16275,5084,6584,5932,4590,1342,652,185,161,131,30,24,943,922,908,14,21,1158,624,524,100,534,4382
0500000US01005,"Barbour County, Alabama",8783,8261,6397,1864,522,7271,6829,5197,1632,442,1026,974,802,172,52,34,34,8,26,0,188,185,182,3,3,153,128,97,31,25,111
0500000US01007,"Bibb County, Alabama",8280,8221,3412,4809,59,7044,6990,2858,4132,54,931,931,306,625,0,40,35,17,18,5,44,44,44,0,0,120,120,86,34,0,101
0500000US01009,"Blount County, Alabama",21350,21173,7203,13970,177,18384,18248,5722,12526,136,2166,2145,724,1421,21,37,37,37,0,0,188,188,188,0,0,95,75,52,23,20,480
0500000US01011,"Bullock County, Alabama",4165,4129,2465,1664,36,3184,3171,1770,1401,13,514,506,365,141,8,15,15,1,14,0,232,232,221,11,0,112,97,0,97,15,108
0500000US01013,"Butler County, Alabama",7691,7508,5753,1755,183,6544,6445,4965,1480,99,872,788,534,254,84,0,0,0,0,0,60,60,53,7,0,49,49,35,14,0,166
0500000US01015,"Calhoun County, Alabama",45797,44502,35631,8871,1295,38921,38127,30637,7490,794,4419,4089,2879,1210,330,102,75,75,0,27,632,626,549,77,6,522,384,290,94,138,1201
0500000US01017,"Chambers County, Alabama",13846,9657,5703,3954,4189,12190,8242,4938,3304,3948,1184,957,370,587,227,34,20,7,13,14,94,94,68,26,0,44,44,20,24,0,300
0500000US01019,"Cherokee County, Alabama",9952,7266,4878,2388,2686,8419,6194,4147,2047,2225,1204,775,434,341,429,54,44,44,0,10,59,59,59,0,0,28,6,6,0,22,188
0500000US01021,"Chilton County, Alabama",17304,16922,8333,8589,382,14339,14087,6882,7205,252,2187,2057,885,1172,130,17,17,0,17,0,144,144,108,36,0,300,300,141,159,0,317
