GEO_ID,NAME,S2404_C01_001E,S2404_C01_002E,S2404_C01_005E,S2404_C01_006E,S2404_C01_007E,S2404_C01_008E,S2404_C01_009E,S2404_C01_010E,S2404_C01_011E,S2404_C01_012E,S2404_C01_013E,S2404_C01_014E,S2404_C01_015E,S2404_C01_016E,S2404_C01_017E,S2404_C01_018E,S2404_C01_019E,S2404_C01_020E,S2404_C01_021E,S2404_C01_022E,S2404_C01_023E,S2404_C01_024E,S2404_C01_025E,S2404_C01_026E,S2404_C01_027E
id,Geographic Area Name,"Total!!Estimate!!Full-time, year-round civilian employed population 16 years and over","Total!!Estimate!!Agriculture, forestry, fishing and hunting, and mining",Total!!Estimate!!Construction,Total!!Estimate!!Manufacturing,Total!!Estimate!!Wholesale trade,Total!!Estimate!!Retail trade,"Total!!Estimate!!Transportation and warehousing, and utilities","Total!!Estimate!!Transportation and warehousing, and utilities!!Transportation and warehousing","Total!!Estimate!!Transportation and warehousing, and utilities!!Utilities",Total!!Estimate!!Information,"Total!!Estimate!!Finance and insurance, and real estate and rental and leasing","Total!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Total!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Total!!Estimate!!Educational services, and health care and social assistance","Total!!Estimate!!Educational services, and health care and social assistance!!Educational services","Total!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance","Total!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services","Total!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation","Total!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services","Total!!Estimate!!Other services, except public administration",Total!!Estimate!!Public administration
0500000US01001,"Autauga County, Alabama",18472,256,928,2862,698,1575,1419,1005,414,300,1140,902,238,1578,1097,16,465,3051,1163,1888,1027,197,830,1048,2590
0500000US01003,"Baldwin County, Alabama",60405,1006,4677,6689,2312,7217,3417,2327,1090,941,4940,2612,2328,6465,3920,11,2534,11952,4458,7494,3877,670,3207,2981,3931
0500000US01005,"Barbour County, Alabama",6517,291,381,1779,168,712,453,337,116,48,261,213,48,231,138,15,78,1211,646,565,279,62,217,197,506
0500000US01007,"Bibb County, Alabama",6376,323,492,1629,104,659,436,374,62,13,229,180,49,323,77,0,246,1195,509,686,189,33,156,464,320
0500000US01009,"Blount County, Alabama",16628,481,1733,2917,730,1633,1441,1093,348,203,854,609,245,1085,708,0,377,3147,861,2286,491,52,439,924,989
0500000US01011,"Bullock County, Alabama",2891,371,51,906,17,296,118,77,41,15,62,62,0,144,84,0,60,416,194,222,149,90,59,88,258
0500000US01013,"Butler County, Alabama",5890,201,402,1324,87,647,407,266,141,69,201,161,40,271,62,0,209,1311,441,870,311,10,301,309,350
0500000US01015,"Calhoun County, Alabama",32214,350,1929,6768,985,3186,1787,1327,460,414,1544,1239,305,2128,1059,0,1069,6958,2970,3988,1740,231,1509,1108,3317
0500000US01017,"Chambers County, Alabama",10521,178,506,3331,333,1107,372,268,104,206,494,425,69,971,375,85,511,1737,685,1052,345,70,275,460,481
