GEO_ID,NAME,CP05_2012_2016_001E,CP05_2012_2016_002E,CP05_2012_2016_003E,CP05_2012_2016_004E,CP05_2012_2016_005E,CP05_2012_2016_006E,CP05_2012_2016_007E,CP05_2012_2016_008E,CP05_2012_2016_009E,CP05_2012_2016_010E,CP05_2012_2016_011E,CP05_2012_2016_012E,CP05_2012_2016_013E,CP05_2012_2016_014E,CP05_2012_2016_015E,CP05_2012_2016_016E,CP05_2012_2016_032E,CP05_2012_2016_033E,CP05_2012_2016_034E,CP05_2012_2016_039E
id,Geographic Area Name,2012-2016 Estimates!!SEX AND AGE!!Total population,2012-2016 Estimates!!SEX AND AGE!!Total population!!Male,2012-2016 Estimates!!SEX AND AGE!!Total population!!Female,2012-2016 Estimates!!SEX AND AGE!!Under 5 years,2012-2016 Estimates!!SEX AND AGE!!5 to 9 years,2012-2016 Estimates!!SEX AND AGE!!10 to 14 years,2012-2016 Estimates!!SEX AND AGE!!15 to 19 years,2012-2016 Estimates!!SEX AND AGE!!20 to 24 years,2012-2016 Estimates!!SEX AND AGE!!25 to 34 years,2012-2016 Estimates!!SEX AND AGE!!35 to 44 years,2012-2016 Estimates!!SEX AND AGE!!45 to 54 years,2012-2016 Estimates!!SEX AND AGE!!55 to 59 years,2012-2016 Estimates!!SEX AND AGE!!60 to 64 years,2012-2016 Estimates!!SEX AND AGE!!65 to 74 years,2012-2016 Estimates!!SEX AND AGE!!75 to 84 years,2012-2016 Estimates!!SEX AND AGE!!85 years and over,2012-2016 Estimates!!RACE!!One race!!White,2012-2016 Estimates!!RACE!!One race!!Black or African American,2012-2016 Estimates!!RACE!!One race!!American Indian and Alaska Native,2012-2016 Estimates!!RACE!!One race!!Asian
0500000US01001,"Autauga County, Alabama",55049,48.8,51.2,5.8,6.9,7.7,7.2,6.2,12.2,13.8,14.6,6.5,5.2,8.4,4.4,1.2,76.9,18.5,0.4,0.8
0500000US01003,"Baldwin County, Alabama",199510,48.8,51.2,5.7,6.3,6.3,6.1,5.5,11.4,12.4,13.8,6.7,7.1,11.2,5.6,1.9,86.4,9.3,0.7,0.7
0500000US01005,"Barbour County, Alabama",26614,53.5,46.5,5.5,6.4,6,5.7,7.3,13.7,12.4,13.8,6.6,6.1,10,4.9,1.6,46.7,47.9,0.2,0.5
0500000US01007,"Bibb County, Alabama",22572,53.5,46.5,5.1,5.2,6.7,6.8,6.4,13.8,13.5,15.4,6.5,5.7,9.1,4.9,0.9,77,21.2,0.4,0.1
0500000US01009,"Blount County, Alabama",57704,49.5,50.5,6.1,6.6,6.8,6.8,5.4,11.6,12.7,14.1,6.3,6.6,10.5,5.3,1.4,95.4,1.6,0.3,0.2
0500000US01011,"Bullock County, Alabama",10552,54.2,45.8,6,6.3,5.7,5.9,6.6,12.4,14.8,13.7,5.4,8,9.6,3.8,1.7,21.8,75.5,0.8,0.8
0500000US01013,"Butler County, Alabama",20280,47,53,6,6.6,6.6,6.3,5.7,12,12,12.6,6.8,7.2,9.9,5.9,2.3,53.6,43.8,0.1,1
0500000US01015,"Calhoun County, Alabama",115883,48.1,51.9,5.6,6.4,6.1,6.7,7.2,12.7,12.1,13.4,7,6.7,9.3,4.9,1.7,74.9,20.5,0.3,0.9
0500000US01017,"Chambers County, Alabama",34018,47.9,52.1,6,5.6,5.9,5.8,6.5,11.6,12,14.1,7.7,6.4,10.6,5,2.8,57.1,40.5,0.2,0.9
