GEO_ID,NAME,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
id,Geographic Area Name,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration
0500000US39151,"Stark County, Ohio",168075,1111,9589,26573,4697,18901,8716,3380,10095,13172,41581,17562,8054,4644
0500000US39153,"Summit County, Ohio",249952,810,11149,36528,8520,30411,11143,4102,19316,23560,61816,21761,12523,8313
0500000US39155,"Trumbull County, Ohio",86807,672,4580,15647,1634,11219,4845,1649,3874,6789,20045,8650,4006,3197
0500000US39157,"Tuscarawas County, Ohio",40524,613,1846,10403,702,5025,2021,364,1424,2460,8822,3847,2028,969
0500000US39165,"Warren County, Ohio",101692,237,4601,19719,3418,13284,2754,1806,6955,11866,22346,6920,3959,3827
0500000US39169,"Wayne County, Ohio",53009,1911,3212,11152,1064,7080,3077,626,2548,3136,12248,3618,2512,825
0500000US39173,"Wood County, Ohio",57825,293,2407,9656,1550,7081,2785,1162,2146,4161,17059,4550,3043,1932
0500000US40017,"Canadian County, Oklahoma",56088,1994,3128,3903,3096,6314,2225,1080,4021,4951,12844,5259,2342,4931
0500000US40027,"Cleveland County, Oklahoma",122363,2429,7759,7817,1886,14464,4654,2339,7628,10028,32341,11460,7410,12148
0500000US40031,"Comanche County, Oklahoma",47730,1280,3225,4408,445,5893,2043,691,2568,3639,10829,6132,1657,4920
0500000US40037,"Creek County, Oklahoma",30677,943,2970,4180,995,3543,2639,906,1147,1889,6356,1990,2014,1105
0500000US40101,"Muskogee County, Oklahoma",28040,168,1241,4387,676,2391,1671,624,1319,778,7411,3149,1853,2372
0500000US40109,"Oklahoma County, Oklahoma",336125,7049,24860,22160,10208,39822,16970,8872,25148,31191,73548,34035,18490,23772
0500000US40119,"Payne County, Oklahoma",38623,1146,2231,2797,1117,4631,1222,407,1597,1602,15155,3076,2663,979
0500000US40125,"Pottawatomie County, Oklahoma",30803,744,2647,3046,425,2578,1577,202,1397,2373,6994,3895,1858,3067
0500000US40131,"Rogers County, Oklahoma",41219,572,2767,7403,1762,4200,3577,1020,1814,3801,8335,2418,2330,1220
0500000US40143,"Tulsa County, Oklahoma",284180,3961,18892,32579,9395,32504,14437,9696,19728,29988,61899,28613,13866,8622
0500000US40145,"Wagoner County, Oklahoma",35446,594,2833,4196,1054,4358,1984,955,2560,3010,7659,3153,1631,1459
0500000US41003,"Benton County, Oregon",40325,1547,1287,2574,433,5815,1096,231,1504,4593,14875,3329,1256,1785
0500000US41005,"Clackamas County, Oregon",174392,3991,13533,20711,7586,21493,9137,2559,14675,18850,33954,12856,8761,6286
0500000US41017,"Deschutes County, Oregon",66715,851,5085,3873,1027,7310,2876,1295,4405,9547,14125,8908,4401,3012
0500000US41019,"Douglas County, Oregon",38593,2079,2433,3755,1397,5094,1691,385,943,2254,8862,4992,1884,2824
0500000US41029,"Jackson County, Oregon",84959,2825,4347,6370,1657,12897,3752,2477,5521,6909,20201,9237,4891,3875
0500000US41033,"Josephine County, Oregon",30625,1247,1957,2022,516,3937,1768,806,2055,1419,6857,2823,2986,2232
0500000US41035,"Klamath County, Oregon",27138,2363,1804,1933,248,4222,1678,425,697,2264,6178,2372,1319,1635
0500000US41039,"Lane County, Oregon",155311,3127,9152,14376,6423,16722,5242,2334,8969,14626,44941,14497,9053,5849
0500000US41043,"Linn County, Oregon",46951,3044,3195,6749,1294,7485,1246,345,2646,3173,10480,2525,2461,2308
0500000US41047,"Marion County, Oregon",130889,8957,6307,14318,4264,15032,5263,1542,6568,10214,29999,9154,5973,13298
0500000US41051,"Multnomah County, Oregon",359931,3409,16354,36153,10562,38940,16742,10247,22367,44331,89307,39111,18791,13617
0500000US41053,"Polk County, Oregon",31589,1538,1144,1728,621,3460,912,1037,1326,2465,8912,2458,1805,4183
0500000US41059,"Umatilla County, Oregon",31498,3409,972,3271,681,5021,1796,617,567,1962,5994,3697,1148,2363
0500000US41067,"Washington County, Oregon",255515,4060,12792,42361,8099,30273,8776,4955,21608,30207,51314,19217,12665,9188
0500000US41071,"Yamhill County, Oregon",43739,2207,2162,6092,1204,4932,1756,1267,1643,3427,9668,4865,2600,1916
0500000US42001,"Adams County, Pennsylvania",52368,1649,5076,8767,1145,5067,3403,914,2210,3475,11161,4687,1637,3177
0500000US42003,"Allegheny County, Pennsylvania",589876,2044,29394,45760,16253,66817,27863,13125,51590,64534,170789,55039,27198,19470
0500000US42005,"Armstrong County, Pennsylvania",31764,1247,2347,4657,695,3524,2529,507,988,2085,8345,2067,1677,1096
0500000US42007,"Beaver County, Pennsylvania",77709,345,4953,8502,2116,10053,7188,794,5057,7255,18884,6417,4123,2022
0500000US42011,"Berks County, Pennsylvania",193364,3283,10555,32843,6246,21699,9077,3462,10613,16398,49407,14904,10856,4021
0500000US42013,"Blair County, Pennsylvania",58564,902,4395,8144,2048,8902,3541,993,2109,3361,14575,4844,2737,2013
0500000US42017,"Bucks County, Pennsylvania",318956,825,20568,38083,10065,43713,12667,6685,22448,37907,76720,25541,13820,9914
0500000US42019,"Butler County, Pennsylvania",88193,1026,5649,11914,4282,12458,5195,1373,4719,8778,19203,8046,2607,2943
0500000US42021,"Cambria County, Pennsylvania",62467,1296,4075,6509,1875,7739,3668,956,2766,4512,16212,5094,3523,4242
0500000US42025,"Carbon County, Pennsylvania",27665,155,2158,4374,520,3528,2458,466,695,2074,5998,2669,989,1581
0500000US42027,"Centre County, Pennsylvania",73162,1256,3310,6465,774,8400,2088,774,3896,4476,29332,7405,3218,1768
0500000US42029,"Chester County, Pennsylvania",252993,6745,12814,33512,7384,28157,8482,4615,24447,36113,57072,17876,10254,5522
0500000US42033,"Clearfield County, Pennsylvania",33430,1570,2510,3529,775,4126,2626,274,1233,1873,9132,1981,2308,1493
0500000US42037,"Columbia County, Pennsylvania",30787,501,1542,5770,825,2915,1467,356,1539,1712,9415,1987,1566,1192
0500000US42039,"Crawford County, Pennsylvania",37687,1392,2382,7199,761,4348,1770,546,1190,1847,9355,3164,2141,1592
0500000US42041,"Cumberland County, Pennsylvania",119635,1251,6568,9523,4274,15038,6520,1295,9874,11701,27464,9050,5448,11629
0500000US42043,"Dauphin County, Pennsylvania",129444,948,7709,11410,4473,13709,8141,1500,10587,12614,30134,11069,4318,12832
0500000US42045,"Delaware County, Pennsylvania",265831,932,14480,22333,5459,26050,13653,6174,22735,29857,80923,21599,13044,8592
0500000US42049,"Erie County, Pennsylvania",125071,879,5572,23546,2529,13718,4958,1374,5555,7728,35734,12285,6002,5191
0500000US42051,"Fayette County, Pennsylvania",52157,1242,2954,4997,1952,7535,3105,1271,2109,3251,13060,6041,2351,2289
0500000US42055,"Franklin County, Pennsylvania",68976,2286,4639,10932,1730,8304,2816,1037,3130,4317,15550,5894,4002,4339
