GEO_ID,NAME,DP03_0026E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E
id,Geographic Area Name,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over
0500000US01003,"Baldwin County, Alabama",84236,1381,7317,7454,2674,14442,3435,1334,4094,7250,16131,10392,4376,3956,84236
0500000US01015,"Calhoun County, Alabama",46165,511,2022,9992,1062,5327,2483,334,1774,2696,9662,4336,2052,3914,46165
0500000US01043,"Cullman County, Alabama",35376,1140,3252,5230,950,4500,1498,492,1975,2188,7824,2789,2521,1017,35376
0500000US01049,"DeKalb County, Alabama",27049,671,1640,7322,735,3457,1941,253,766,802,4473,2184,1958,847,27049
0500000US01051,"Elmore County, Alabama",37572,269,3500,4734,1181,3623,2268,424,2130,2860,6974,3062,1930,4617,37572
0500000US01055,"Etowah County, Alabama",38842,279,2678,7758,1086,5537,2297,542,1265,1977,8112,3366,1762,2183,38842
0500000US01069,"Houston County, Alabama",44081,408,3033,4110,1701,6425,3644,675,1846,3064,10783,4032,2254,2106,44081
0500000US01073,"Jefferson County, Alabama",287272,2066,18156,21771,8926,33705,15981,6454,24294,28394,74149,26136,15933,11307,287272
0500000US01077,"Lauderdale County, Alabama",38144,406,2698,4676,980,5924,3906,673,1823,2731,7268,3047,2083,1929,38144
0500000US01081,"Lee County, Alabama",68181,301,4461,6437,1211,8523,2462,829,4051,5700,21591,6901,2303,3411,68181
0500000US01083,"Limestone County, Alabama",38587,886,3414,5560,726,4864,2465,547,1684,6306,6243,2854,1647,1391,38587
0500000US01089,"Madison County, Alabama",162239,1367,7426,17970,2627,17499,4818,4822,6274,28556,33383,15238,6578,15681,162239
0500000US01095,"Marshall County, Alabama",37428,713,2466,7500,1308,4232,1574,788,1524,3064,7464,2370,2136,2289,37428
0500000US01097,"Mobile County, Alabama",164770,2100,11377,18764,3608,21682,8665,3681,8178,16434,41368,14150,9267,5496,164770
0500000US01101,"Montgomery County, Alabama",96705,524,3831,10778,1884,10453,3179,1616,6030,10362,21673,10900,4799,10676,96705
0500000US01103,"Morgan County, Alabama",51393,551,5025,9080,1094,6719,1774,617,2682,5574,9235,4520,2781,1741,51393
0500000US01115,"St. Clair County, Alabama",36724,159,3152,5538,2086,5264,3402,249,2332,2903,7259,1954,1147,1279,36724
0500000US01117,"Shelby County, Alabama",100509,506,6157,7467,3174,11132,6077,4389,10966,11944,20458,8670,5447,4122,100509
0500000US01121,"Talladega County, Alabama",31058,269,2334,7134,671,3869,2019,272,1372,2840,5665,1446,1323,1844,31058
0500000US01125,"Tuscaloosa County, Alabama",87256,2473,4593,9646,1887,10638,4022,1346,4672,7463,25247,7770,4517,2982,87256
0500000US01127,"Walker County, Alabama",24692,1607,2060,2607,427,4709,1612,220,893,1254,5436,1589,1182,1096,24692
0500000US02020,"Anchorage Municipality, Alaska",153778,6909,11242,3115,3195,16359,9980,2925,7688,16272,37820,15295,6286,16692,153778
0500000US02090,"Fairbanks North Star Borough, Alaska",46381,1043,2485,1243,342,5676,3696,986,1748,3592,13172,5335,1588,5475,46381
0500000US02170,"Matanuska-Susitna Borough, Alaska",40435,2380,4662,1152,740,4677,2525,985,1200,3069,9599,3459,2033,3954,40435
0500000US04001,"Apache County, Arizona",19489,530,2002,337,91,1705,1079,197,417,654,8022,1341,704,2410,19489
0500000US04003,"Cochise County, Arizona",43846,2006,1483,1556,430,5015,1707,717,2001,5636,9860,4820,1747,6868,43846
0500000US04005,"Coconino County, Arizona",65614,808,4436,3689,883,9086,3011,532,2224,4484,18913,12600,1913,3035,65614
0500000US04013,"Maricopa County, Arizona",1770029,10249,112869,143116,42774,218845,87439,34234,174365,232726,373028,171720,89605,79059,1770029
0500000US04015,"Mohave County, Arizona",63230,625,3597,4659,827,10284,3745,1009,2677,3374,12062,13625,3257,3489,63230
0500000US04017,"Navajo County, Arizona",31836,942,2548,1147,492,4567,1890,351,1157,1663,9432,3873,1275,2499,31836
0500000US04019,"Pima County, Arizona",417745,4998,25817,29148,7088,45927,17433,6884,23669,49442,107918,48093,24008,27320,417745
0500000US04021,"Pinal County, Arizona",138459,7032,7012,15099,2154,14268,6709,2787,9123,13314,28085,14353,5009,13514,138459
0500000US04025,"Yavapai County, Arizona",81859,1926,6928,4691,1396,10826,3145,703,3317,7866,20822,9941,6323,3975,81859
0500000US04027,"Yuma County, Arizona",68254,6227,3654,2220,2277,7533,2322,1183,2430,5967,14855,6930,5912,6744,68254
0500000US05007,"Benton County, Arkansas",106382,1882,6482,16322,2810,24624,5659,862,5357,10236,16632,8762,4346,2408,106382
0500000US05031,"Craighead County, Arkansas",47478,1250,3182,6264,856,7348,1644,482,2566,3209,13608,3670,2351,1048,47478
0500000US05045,"Faulkner County, Arkansas",59178,1742,5243,4239,2253,7049,2010,2628,3545,4897,15662,4387,3462,2061,59178
0500000US05051,"Garland County, Arkansas",40597,360,3625,2253,673,6585,1579,1189,2089,2983,10731,5069,1803,1658,40597
0500000US05069,"Jefferson County, Arkansas",28372,455,1050,4397,1100,2503,1105,689,796,1653,8666,1798,460,3700,28372
0500000US05085,"Lonoke County, Arkansas",31007,1263,2244,3842,677,3737,2043,617,1019,2045,7895,1559,1659,2407,31007
0500000US05119,"Pulaski County, Arkansas",173848,809,7957,11713,3621,21883,7951,4676,13860,15756,47766,17637,7184,13035,173848
0500000US05125,"Saline County, Arkansas",53771,401,5631,4260,1397,7296,2760,1561,3136,4489,12769,3771,2706,3594,53771
0500000US05131,"Sebastian County, Arkansas",55849,959,3011,12070,2015,5902,2907,1131,2498,2777,13316,4946,2520,1797,55849
0500000US05143,"Washington County, Arkansas",98467,2757,5366,14320,2977,14113,4683,1533,4329,8581,23382,7606,6038,2782,98467
0500000US05145,"White County, Arkansas",32461,1101,2824,3560,1080,3157,1463,143,1386,1146,9411,2816,1799,2575,32461
0500000US06001,"Alameda County, California",747170,2646,36176,80987,21664,74141,32068,22626,45107,126063,170045,71294,38390,25963,747170
0500000US06007,"Butte County, California",86165,2720,4338,5065,1606,12904,2386,1357,4251,8100,24616,9889,5620,3313,86165
0500000US06013,"Contra Costa County, California",498496,4861,33499,35030,13385,51752,23631,12483,48317,77831,112481,40828,23930,20468,498496
0500000US06017,"El Dorado County, California",82213,1115,6007,5924,1055,11148,2491,1833,7703,9435,16696,9431,3851,5524,82213
0500000US06019,"Fresno County, California",359429,44230,19007,23627,14741,36811,18128,4910,17317,30986,79229,31443,18380,20620,359429
