GEO_ID,NAME,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0023E,DP05_0024E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0081E
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!SEX AND AGE!!Under 5 years,Estimate!!SEX AND AGE!!5 to 9 years,Estimate!!SEX AND AGE!!10 to 14 years,Estimate!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Estimate!!SEX AND AGE!!25 to 34 years,Estimate!!SEX AND AGE!!35 to 44 years,Estimate!!SEX AND AGE!!45 to 54 years,Estimate!!SEX AND AGE!!55 to 59 years,Estimate!!SEX AND AGE!!60 to 64 years,Estimate!!SEX AND AGE!!65 to 74 years,Estimate!!SEX AND AGE!!75 to 84 years,Estimate!!SEX AND AGE!!85 years and over,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!RACE!!White,Estimate!!RACE!!Black or African American,Estimate!!RACE!!American Indian and Alaska Native,Estimate!!RACE!!Asian,Estimate!!RACE!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!Total housing units
0500000US01001,"Autauga County, Alabama",54590,26538,28052,3529,4028,4328,4515,3046,6452,8055,8098,2992,2855,4207,1825,660,19151,20802,43841,10126,523,672,0,255,54590,22077
0500000US01003,"Baldwin County, Alabama",183226,89270,93956,11218,11813,11922,11361,9641,21214,23582,26714,12324,12386,18079,9753,3219,68106,73010,160739,18164,2584,1985,39,2841,183226,103984
0500000US01005,"Barbour County, Alabama",27469,14749,12720,1578,1859,1529,1639,1882,3866,3582,3955,1826,1737,2293,1217,506,11593,9874,13816,12993,368,310,0,607,27469,11878
0500000US01007,"Bibb County, Alabama",22769,12154,10615,1312,1663,1420,1448,1408,2869,3267,3732,1226,1483,1697,986,258,9364,8117,17661,5171,131,40,0,9,22769,8958
0500000US01009,"Blount County, Alabama",57466,28489,28977,3620,3609,4301,3882,3351,6800,7929,8089,3343,3986,5152,2511,893,21266,22201,55359,1023,710,191,0,1042,57466,23761
0500000US01011,"Bullock County, Alabama",10779,5996,4783,671,558,730,578,667,1305,1888,1504,578,806,792,447,255,4641,3755,3079,7658,95,0,47,0,10779,4501
0500000US01013,"Butler County, Alabama",20730,9738,10992,1292,1403,1474,1279,1201,2480,2350,2950,1466,1362,1809,1307,357,7129,8625,11482,9040,99,195,0,62,20730,9973
0500000US01015,"Calhoun County, Alabama",117834,56686,61148,7196,7845,7317,8274,8899,14683,14701,16725,8338,6706,9493,5829,1828,42869,48097,90272,25310,1154,1210,254,1878,117834,53293
0500000US01017,"Chambers County, Alabama",34228,16232,17996,2053,2160,2181,2220,1993,3831,4353,4978,2392,2311,3136,1914,706,12323,14098,20524,13548,237,198,40,71,34228,17000
0500000US01019,"Cherokee County, Alabama",25917,12748,13169,1424,1382,1574,1561,1473,2656,3202,3972,2302,1679,2960,1351,381,9953,10624,24322,1384,302,86,5,88,25917,16168
0500000US01021,"Chilton County, Alabama",43611,21490,22121,2990,2851,3172,2896,2757,5614,5970,6074,2866,2438,3518,1856,609,15970,16755,38186,4468,279,151,0,868,43611,19240
0500000US01023,"Choctaw County, Alabama",13838,6696,7142,761,725,1049,983,703,1294,1676,2106,857,1117,1468,741,358,5029,5692,7816,5980,112,30,0,76,13838,7301
0500000US01025,"Clarke County, Alabama",25768,12181,13587,1517,1438,2174,1970,1455,2684,3279,3827,1825,1441,2361,1264,533,8979,10391,14062,11473,272,94,0,47,25768,12632
0500000US01027,"Clay County, Alabama",13828,6786,7042,819,713,1097,811,715,1559,1911,1908,898,929,1358,778,332,5124,5577,11523,2220,148,5,0,128,13828,6762
0500000US01029,"Cleburne County, Alabama",14905,7327,7578,947,921,1080,1001,783,1648,2037,2099,933,1040,1424,783,209,5483,5833,14259,644,163,0,0,33,14905,6706
0500000US01031,"Coffee County, Alabama",49966,24676,25290,3386,2926,3712,3205,3328,6343,6850,6866,3334,2745,4057,2348,866,18490,19419,39826,8944,1134,962,39,423,49966,22384
0500000US01033,"Colbert County, Alabama",54451,26164,28287,3093,3270,3427,3655,3070,6040,7030,8115,3827,3437,5260,3122,1105,19930,22507,44545,9196,637,348,12,557,54451,25796
0500000US01035,"Conecuh County, Alabama",13188,6430,6758,763,736,932,917,910,1205,1436,1941,1037,903,1388,724,296,4843,5326,6844,6265,252,12,0,0,13188,7103
0500000US01037,"Coosa County, Alabama",11305,5761,5544,543,650,630,679,650,1064,1560,1827,1022,749,1129,622,180,4421,4600,7731,3586,63,0,0,9,11305,6466
0500000US01039,"Covington County, Alabama",37803,18325,19478,2263,2228,2483,2497,2122,3992,4555,5467,2612,2461,3859,2420,844,13882,15384,32455,4927,409,205,35,258,37803,18821
0500000US01041,"Crenshaw County, Alabama",13971,6809,7162,902,900,931,940,821,1428,1892,2072,862,996,1203,759,265,5084,5561,10506,3390,130,230,0,79,13971,6742
0500000US01043,"Cullman County, Alabama",80403,39849,40554,4920,5288,5227,5238,4811,9665,10197,11802,5175,5144,7443,4117,1376,30154,31630,78287,1292,1060,420,45,546,80403,37026
0500000US01045,"Dale County, Alabama",50129,24827,25302,3643,3566,3228,3192,3480,7288,6157,6767,3343,2614,3968,2072,811,18413,19345,38901,10510,763,871,134,414,50129,22700
0500000US01047,"Dallas County, Alabama",43572,20042,23530,3197,3565,2780,3294,2827,4919,4972,6420,2633,2823,3505,1774,863,14262,17748,12917,30373,243,196,36,196,43572,20248
0500000US01049,"DeKalb County, Alabama",70949,34974,35975,4979,4950,5197,4886,4096,9070,9293,9850,4215,4449,5831,3129,1004,25683,27004,66289,1588,2221,252,5,2193,70949,30974
0500000US01051,"Elmore County, Alabama",79330,38822,40508,4864,5281,5146,5667,5282,10483,11492,12059,5403,4123,5795,2575,1160,29377,31282,61283,16756,726,769,0,1183,79330,32498
0500000US01053,"Escambia County, Alabama",38122,19686,18436,2323,2144,2692,2686,2047,5125,5068,5495,2624,2150,3331,1587,850,15367,13999,24236,12354,1527,180,18,38,38122,16525
0500000US01055,"Etowah County, Alabama",104317,50374,53943,6200,6463,6947,7052,6272,12141,13938,14686,7206,6841,9160,5106,2305,38036,42282,86897,16550,952,884,62,577,104317,47491
0500000US01057,"Fayette County, Alabama",17219,8473,8746,950,991,1224,1069,939,1824,1977,2635,1305,1170,1794,1079,262,6451,7000,15164,2078,119,72,0,50,17219,8450
0500000US01059,"Franklin County, Alabama",31664,15547,16117,2243,2324,2059,2000,1984,3912,4274,4507,1924,1704,2728,1562,443,11658,12182,28308,1565,306,75,0,1733,31664,14023
0500000US01061,"Geneva County, Alabama",26769,13024,13745,1549,1426,1911,1690,1456,2995,3353,3988,1969,1722,2686,1506,518,9970,10835,23573,2693,401,30,0,443,26769,12670
0500000US01063,"Greene County, Alabama",9067,4284,4783,551,421,826,837,466,944,894,1307,592,769,708,586,166,3168,3691,1608,7421,25,13,0,0,9067,5017
0500000US01065,"Hale County, Alabama",15750,7489,8261,935,970,1221,1246,915,1752,1775,2436,1314,786,1308,871,221,5554,6297,6314,9346,50,63,14,0,15750,7682
0500000US01067,"Henry County, Alabama",17275,8225,9050,947,1045,1103,1201,898,1681,2232,2408,1274,1360,1791,1021,314,6324,7108,11976,4818,65,349,0,155,17275,8878
0500000US01069,"Houston County, Alabama",101459,48655,52804,6693,7212,6741,6627,5971,12938,13308,14536,7059,5632,8276,4815,1651,35916,40691,72690,27060,951,1090,126,1366,101459,45310
0500000US01071,"Jackson County, Alabama",53279,26341,26938,2993,3428,3399,3491,2782,6001,6948,7983,3728,3752,5287,2742,745,20050,21232,50020,2042,1685,246,99,245,53279,24798
0500000US01073,"Jefferson County, Alabama",658464,311658,346806,44222,42091,42319,43880,46421,93756,83565,94387,44562,36304,44944,29165,12848,232762,270823,356736,280160,3928,10717,147,12455,658464,301202
0500000US01075,"Lamar County, Alabama",14513,6993,7520,839,979,853,799,817,1483,1889,2079,1133,920,1554,956,212,5391,5899,12769,1804,31,14,0,9,14513,7372
0500000US01077,"Lauderdale County, Alabama",92528,44344,48184,5145,5652,5445,6354,7264,10287,11635,13041,6050,6056,8581,5205,1813,34271,38403,81550,9849,795,828,26,483,92528,43762
0500000US01079,"Lawrence County, Alabama",34148,16696,17452,2107,2387,2048,2235,2097,3795,4719,5258,2468,2108,2990,1523,413,12692,13549,27977,4201,3208,206,14,321,34148,15227
0500000US01081,"Lee County, Alabama",140938,69643,71295,8485,8899,8613,12923,21632,19473,17690,16802,7107,6428,7706,3723,1457,53595,55988,102876,33329,1440,4417,125,1010,140938,62638
0500000US01083,"Limestone County, Alabama",83313,42264,41049,5402,5635,5434,5266,4763,11062,12397,12981,5053,5019,6209,2971,1121,32050,31356,69453,11233,924,1145,3,1836,83313,34658
0500000US01085,"Lowndes County, Alabama",11304,5284,6020,704,628,912,891,740,1082,1399,1810,873,600,1002,487,176,3923,4617,2896,8365,45,0,0,20,11304,5176
0500000US01087,"Macon County, Alabama",21214,9687,11527,1111,927,1402,2291,2568,2003,2278,2795,1465,1339,1654,931,450,7526,9408,3449,17741,127,16,0,28,21214,10285
0500000US01089,"Madison County, Alabama",334661,164288,170373,20811,22606,21288,24394,24185,44069,44435,53435,20498,17640,23443,13398,4459,123740,131902,239660,84270,5809,10450,632,3672,334661,146628
0500000US01091,"Marengo County, Alabama",20909,9816,11093,1268,1067,1757,1513,1243,2099,2549,3065,1262,1528,2002,1135,421,7256,8568,9795,11005,71,70,0,128,20909,10255
0500000US01093,"Marion County, Alabama",30641,15138,15503,1747,1716,1893,1897,1698,3213,4023,4524,1876,2309,3358,1813,574,11700,12364,29236,1295,226,176,0,85,30641,14731
0500000US01095,"Marshall County, Alabama",93070,45911,47159,6764,6344,6304,6483,5598,11498,12079,12848,5986,5308,7954,4227,1677,33857,35814,88429,2016,1326,686,67,1927,93070,40222
0500000US01097,"Mobile County, Alabama",412297,197997,214300,28231,27791,28962,30066,29539,53661,51213,59223,26496,23423,30326,17180,6186,145225,163824,255013,145681,5575,8849,124,2376,412297,178278
0500000US01099,"Monroe County, Alabama",22993,11135,11858,1396,1400,1860,1711,1267,2379,2867,3425,1654,1415,1971,1150,498,8178,9055,12980,9671,395,100,0,94,22993,11339
0500000US01101,"Montgomery County, Alabama",229376,109021,120355,15939,15494,15508,17220,18847,32655,29397,30922,13434,12380,14784,9292,3504,80322,92467,95749,127332,1639,5483,151,2253,229376,101956
0500000US01103,"Morgan County, Alabama",119330,58488,60842,7555,8250,7710,7899,7013,15110,16018,17877,7796,7124,9774,5349,1855,44103,46673,100526,15129,2409,932,125,2531,119330,51180
0500000US01105,"Perry County, Alabama",10525,5105,5420,755,592,820,1022,591,1230,925,1547,581,696,999,525,242,3771,4183,3261,7247,8,75,0,10,10525,4764
0500000US01107,"Pickens County, Alabama",19646,9284,10362,1175,1200,1387,1327,1167,2124,2278,2985,1477,1177,1843,1165,341,6983,8074,11418,8305,91,17,0,25,19646,9485
0500000US01109,"Pike County, Alabama",32750,15499,17251,1808,2022,1637,3261,4967,3864,3456,3877,1896,1756,2430,1312,464,12218,13886,19689,12361,479,734,0,228,32750,15272
