GEO_ID,NAME,CP05_2012_2016_001E,CP05_2012_2016_002E,CP05_2012_2016_003E,CP05_2012_2016_004E,CP05_2012_2016_005E,CP05_2012_2016_006E,CP05_2012_2016_007E,CP05_2012_2016_008E,CP05_2012_2016_009E,CP05_2012_2016_010E,CP05_2012_2016_011E,CP05_2012_2016_012E,CP05_2012_2016_013E,CP05_2012_2016_014E,CP05_2012_2016_015E,CP05_2012_2016_016E,CP05_2012_2016_017E,CP05_2012_2016_018E,CP05_2012_2016_019E,CP05_2012_2016_020E,CP05_2012_2016_021E,CP05_2012_2016_022E,CP05_2012_2016_023E,CP05_2012_2016_024E,CP05_2012_2016_025E,CP05_2012_2016_026E,CP05_2012_2016_027E,CP05_2012_2016_028E,CP05_2012_2016_029E,CP05_2012_2016_030E,CP05_2012_2016_031E,CP05_2012_2016_032E,CP05_2012_2016_033E,CP05_2012_2016_034E,CP05_2012_2016_035E,CP05_2012_2016_036E,CP05_2012_2016_037E,CP05_2012_2016_038E,CP05_2012_2016_039E,CP05_2012_2016_040E,CP05_2012_2016_041E,CP05_2012_2016_042E,CP05_2012_2016_043E,CP05_2012_2016_044E,CP05_2012_2016_045E,CP05_2012_2016_046E,CP05_2012_2016_047E,CP05_2012_2016_048E,CP05_2012_2016_049E,CP05_2012_2016_050E,CP05_2012_2016_051E,CP05_2012_2016_052E,CP05_2012_2016_053E,CP05_2012_2016_054E,CP05_2012_2016_055E,CP05_2012_2016_056E,CP05_2012_2016_057E,CP05_2012_2016_058E,CP05_2012_2016_059E,CP05_2012_2016_060E,CP05_2012_2016_061E,CP05_2012_2016_062E,CP05_2012_2016_063E,CP05_2012_2016_064E,CP05_2012_2016_065E,CP05_2012_2016_066E,CP05_2012_2016_067E,CP05_2012_2016_068E,CP05_2012_2016_069E,CP05_2012_2016_070E,CP05_2012_2016_071E,CP05_2012_2016_072E,CP05_2012_2016_073E,CP05_2012_2016_074E,CP05_2012_2016_075E,CP05_2012_2016_076E,CP05_2012_2016_077E,CP05_2012_2016_078E,CP05_2012_2016_079E,CP05_2012_2016_080E,CP05_2012_2016_081E,CP05_2012_2016_082E,CP05_2012_2016_083E,CP05_2012_2016_084E
id,Geographic Area Name,2012-2016 Estimates!!SEX AND AGE!!Total population,2012-2016 Estimates!!SEX AND AGE!!Total population!!Male,2012-2016 Estimates!!SEX AND AGE!!Total population!!Female,2012-2016 Estimates!!SEX AND AGE!!Under 5 years,2012-2016 Estimates!!SEX AND AGE!!5 to 9 years,2012-2016 Estimates!!SEX AND AGE!!10 to 14 years,2012-2016 Estimates!!SEX AND AGE!!15 to 19 years,2012-2016 Estimates!!SEX AND AGE!!20 to 24 years,2012-2016 Estimates!!SEX AND AGE!!25 to 34 years,2012-2016 Estimates!!SEX AND AGE!!35 to 44 years,2012-2016 Estimates!!SEX AND AGE!!45 to 54 years,2012-2016 Estimates!!SEX AND AGE!!55 to 59 years,2012-2016 Estimates!!SEX AND AGE!!60 to 64 years,2012-2016 Estimates!!SEX AND AGE!!65 to 74 years,2012-2016 Estimates!!SEX AND AGE!!75 to 84 years,2012-2016 Estimates!!SEX AND AGE!!85 years and over,2012-2016 Estimates!!SEX AND AGE!!Median age (years),2012-2016 Estimates!!SEX AND AGE!!18 years and over,2012-2016 Estimates!!SEX AND AGE!!21 years and over,2012-2016 Estimates!!SEX AND AGE!!62 years and over,2012-2016 Estimates!!SEX AND AGE!!65 years and over,2012-2016 Estimates!!SEX AND AGE!!18 years and over,2012-2016 Estimates!!SEX AND AGE!!18 years and over!!Male,2012-2016 Estimates!!SEX AND AGE!!18 years and over!!Female,2012-2016 Estimates!!SEX AND AGE!!65 years and over,2012-2016 Estimates!!SEX AND AGE!!65 years and over!!Male,2012-2016 Estimates!!SEX AND AGE!!65 years and over!!Female,2012-2016 Estimates!!RACE!!Total population,2012-2016 Estimates!!RACE!!Total population!!One race,2012-2016 Estimates!!RACE!!Total population!!Two or more races,2012-2016 Estimates!!RACE!!One race,2012-2016 Estimates!!RACE!!One race!!White,2012-2016 Estimates!!RACE!!One race!!Black or African American,2012-2016 Estimates!!RACE!!One race!!American Indian and Alaska Native,2012-2016 Estimates!!RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,2012-2016 Estimates!!RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,2012-2016 Estimates!!RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,2012-2016 Estimates!!RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,2012-2016 Estimates!!RACE!!One race!!Asian,2012-2016 Estimates!!RACE!!One race!!Asian!!Asian Indian,2012-2016 Estimates!!RACE!!One race!!Asian!!Chinese,2012-2016 Estimates!!RACE!!One race!!Asian!!Filipino,2012-2016 Estimates!!RACE!!One race!!Asian!!Japanese,2012-2016 Estimates!!RACE!!One race!!Asian!!Korean,2012-2016 Estimates!!RACE!!One race!!Asian!!Vietnamese,2012-2016 Estimates!!RACE!!One race!!Asian!!Other Asian,2012-2016 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander,2012-2016 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,2012-2016 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,2012-2016 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,2012-2016 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,2012-2016 Estimates!!RACE!!One race!!Some other race,2012-2016 Estimates!!RACE!!Two or more races,2012-2016 Estimates!!RACE!!Two or more races!!White and Black or African American,2012-2016 Estimates!!RACE!!Two or more races!!White and American Indian and Alaska Native,2012-2016 Estimates!!RACE!!Two or more races!!White and Asian,2012-2016 Estimates!!RACE!!Two or more races!!Black or African American and American Indian and Alaska Native,2012-2016 Estimates!!RACE!!Race alone or in combination with one or more other races!!Total population,2012-2016 Estimates!!RACE!!Race alone or in combination with one or more other races!!Total population!!White,2012-2016 Estimates!!RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American,2012-2016 Estimates!!RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,2012-2016 Estimates!!RACE!!Race alone or in combination with one or more other races!!Total population!!Asian,2012-2016 Estimates!!RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,2012-2016 Estimates!!RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",2012-2016 Estimates!!HISPANIC OR LATINO AND RACE!!Total housing units,"2012-2016 Estimates!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","2012-2016 Estimates!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","2012-2016 Estimates!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
0500000US01001,"Autauga County, Alabama",55049,48.8,51.2,5.8,6.9,7.7,7.2,6.2,12.2,13.8,14.6,6.5,5.2,8.4,4.4,1.2,37.8,74.8,71.1,16.8,14,41196,48,52,7695,43.3,56.7,55049,98,2,98,76.9,18.5,0.4,0.2,0,0.1,0,0.8,0,0.3,0.1,0,0,0.3,0.1,0.1,0,0.1,0,0,1.4,2,0.8,0.4,0.5,0,55049,78.7,19.3,0.9,1.4,0.2,1.5,55049,2.6,1.6,0.4,0.1,0.4,97.4,75.7,18.4,0.4,0.8,0,0.2,1.9,0.1,1.8,22714,40692,47.8,52.2
0500000US01003,"Baldwin County, Alabama",199510,48.8,51.2,5.7,6.3,6.3,6.1,5.5,11.4,12.4,13.8,6.7,7.1,11.2,5.6,1.9,42.3,77.8,74.6,23.2,18.7,155240,48.2,51.8,37338,46.7,53.3,199510,98,2,98,86.4,9.3,0.7,0.1,0,0,0,0.7,0.1,0.3,0.1,0,0,0.1,0,0,0,0,0,0,0.9,2,0.5,0.6,0.3,0,199510,88.1,9.9,1.4,1.3,0,1.3,199510,4.4,3,0.4,0.1,1,95.6,83.2,9.2,0.6,0.7,0,0.2,1.8,0.3,1.5,107579,151769,48,52
0500000US01005,"Barbour County, Alabama",26614,53.5,46.5,5.5,6.4,6,5.7,7.3,13.7,12.4,13.8,6.6,6.1,10,4.9,1.6,38.7,78.5,74.7,20.2,16.5,20879,54.1,45.9,4399,43.2,56.8,26614,99.4,0.6,99.4,46.7,47.9,0.2,0.1,0,0,0,0.5,0,0,0,0,0.1,0.2,0.2,0,0,0,0,0,4.1,0.6,0.2,0.2,0.1,0,26614,47.2,48.2,0.4,0.6,0,4.2,26614,4.3,3.4,0.1,0,0.8,95.7,45.9,47.9,0.2,0.4,0,0.7,0.6,0,0.6,11802,20373,53.5,46.5
0500000US01007,"Bibb County, Alabama",22572,53.5,46.5,5.1,5.2,6.7,6.8,6.4,13.8,13.5,15.4,6.5,5.7,9.1,4.9,0.9,40.2,78.9,74.8,18,14.9,17816,53.8,46.2,3360,43,57,22572,98.6,1.4,98.6,77,21.2,0.4,0.3,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.4,1,0.3,0,0,22572,78.3,22.3,0.7,0.1,0,0,22572,2.2,0.8,0.1,0,1.3,97.8,74.8,21.2,0.4,0.1,0,0,1.4,0,1.4,8972,17589,53.9,46.1
0500000US01009,"Blount County, Alabama",57704,49.5,50.5,6.1,6.6,6.8,6.8,5.4,11.6,12.7,14.1,6.3,6.6,10.5,5.3,1.4,40.8,76.4,72.8,21.2,17.2,44103,49.1,50.9,9921,44.6,55.4,57704,98.4,1.6,98.4,95.4,1.6,0.3,0.1,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0.9,1.6,0.4,0.8,0.2,0,57704,97,2,1.2,0.5,0.1,0.9,57704,8.7,8.1,0.2,0.1,0.4,91.3,87.7,1.6,0.3,0.2,0,0.2,1.4,0,1.4,23850,42432,48.7,51.3
0500000US01011,"Bullock County, Alabama",10552,54.2,45.8,6,6.3,5.7,5.9,6.6,12.4,14.8,13.7,5.4,8,9.6,3.8,1.7,39.2,78.4,74.8,20,15.1,8278,55.1,44.9,1597,41.8,58.2,10552,98.9,1.1,98.9,21.8,75.5,0.8,0.2,0,0,0,0.8,0.1,0.4,0,0,0.2,0,0,0,0,0,0,0,0,1.1,0,1.1,0,0,10552,22.9,75.5,1.9,0.8,0,0,10552,0.1,0.1,0,0,0,99.9,21.7,75.5,0.8,0.8,0,0,1.1,0,1.1,4462,8195,55.7,44.3
0500000US01013,"Butler County, Alabama",20280,47,53,6,6.6,6.6,6.3,5.7,12,12,12.6,6.8,7.2,9.9,5.9,2.3,40.6,76.7,73.3,22,18.1,15547,45.3,54.7,3676,41.1,58.9,20280,98.7,1.3,98.7,53.6,43.8,0.1,0.1,0,0,0,1,0.1,0,0,0,0.9,0,0,0,0,0,0,0,0.2,1.3,0.6,0.5,0.1,0,20280,54.8,44.5,0.6,1.2,0,0.2,20280,1.2,1.1,0,0,0.2,98.8,52.8,43.5,0.1,1,0,0.1,1.3,0,1.3,9914,15427,45.1,54.9
0500000US01015,"Calhoun County, Alabama",115883,48.1,51.9,5.6,6.4,6.1,6.7,7.2,12.7,12.1,13.4,7,6.7,9.3,4.9,1.7,39.1,77.9,73.5,19.7,15.9,90242,47.3,52.7,18461,42.3,57.7,115883,97.7,2.3,97.7,74.9,20.5,0.3,0.1,0,0,0,0.9,0.1,0.1,0.1,0,0.2,0.1,0.2,0,0,0,0,0,1.1,2.3,1,0.7,0.1,0.1,115883,77,21.8,1.2,1.3,0.1,1.2,115883,3.4,2.3,0.5,0.1,0.6,96.6,73,20.3,0.2,0.9,0,0,2.1,0,2.1,53326,88523,47.2,52.8
0500000US01017,"Chambers County, Alabama",34018,47.9,52.1,6,5.6,5.9,5.8,6.5,11.6,12,14.1,7.7,6.4,10.6,5,2.8,43.1,78.6,75.7,22,18.4,26735,47.1,52.9,6255,41.9,58.1,34018,98.9,1.1,98.9,57.1,40.5,0.2,0.1,0,0,0,0.9,0.2,0,0,0,0.7,0,0,0,0,0,0,0,0.1,1.1,0.8,0.3,0,0,34018,58.2,41.3,0.5,1,0,0.2,34018,0.4,0.2,0,0.2,0,99.6,56.7,40.5,0.2,0.9,0,0,1.1,0.1,1.1,16905,26479,46.9,53.1
